cod_agencia_id,product_id,product_description,date,ajuste,safety_stock,inventario,unit_01,envio_01,unit_02,envio_02,Pedido,Cupo,Tinas
14462,29530,MINI ROSQUITAS NATURALES 50G SUP,2019-03-26,295,261,893,694,660,335,60,0,60,0
14463,29530,MINI ROSQUITAS NATURALES 50G SUP,2019-03-26,39,39,379,360,720,62,0,0,60,0
14462,29532,SALMAS EC 140G EXP SAN_29532,2019-03-26,15,9,38,30,0,15,28,3,28,0
14463,29532,SALMAS EC 140G EXP SAN_29532,2019-03-26,0,0,41,0,0,0,0,0,28,0
14462,29533,MINI ROSQUITAS INTEGRALES 50G SUP,2019-03-26,272,227,238,587,540,313,360,261,60,4
14463,29533,MINI ROSQUITAS INTEGRALES 50G SUP,2019-03-26,30,33,391,360,600,100,0,0,60,0
14462,29534,BIMBOLETES VAINILLA 2P 70G BIM_29534,2019-03-26,483,329,20,708,720,403,840,343,40,9
14463,29534,BIMBOLETES VAINILLA 2P 70G BIM_29534,2019-03-26,130,79,392,400,400,600,600,0,40,0
14462,29536,BIMBOLETES GOTAS CHOCOLATE 2P 70G BIM_29536,2019-03-26,608,404,5,894,1040,514,1080,295,40,7
14463,29536,BIMBOLETES GOTAS CHOCOLATE 2P 70G BIM_29536,2019-03-26,202,106,321,400,400,600,640,0,40,0
14462,29537,PAN DULCE 16P 500G DPY BIM_29537,2019-03-26,0,0,0,0,0,0,0,0,8,0
14463,29537,PAN DULCE 16P 500G DPY BIM_29537,2019-03-26,0,0,0,0,0,0,0,0,8,0
14462,29538,SUBMARINOS SUMERGIDO 2P 54G MLA_29538,2019-03-26,0,0,0,0,0,0,0,0,35,0
14463,29538,SUBMARINOS SUMERGIDO 2P 54G MLA_29538,2019-03-26,0,0,0,0,0,0,0,0,35,0
14462,29539,SUBMARINO RELLENO/CREMA CHOC 1P 27G MLA_29539,2019-03-26,0,0,0,0,0,0,0,0,75,0
14463,29539,SUBMARINO RELLENO/CREMA CHOC 1P 27G MLA_29539,2019-03-26,0,0,0,0,0,0,0,0,75,0
14462,29540,SUBMAR RELL/CREMA MANJARLECHE 1P 27G MLA_29540,2019-03-26,0,0,0,0,0,0,0,0,75,0
14463,29540,SUBMAR RELL/CREMA MANJARLECHE 1P 27G MLA_29540,2019-03-26,0,0,0,0,0,0,0,0,75,0
14462,29541,MINI TOSTADAS NATURALES 120G GRI,2019-03-26,41,40,291,118,144,64,0,0,24,0
14463,29541,MINI TOSTADAS NATURALES 120G GRI,2019-03-26,17,14,168,60,0,100,48,0,24,0
14462,29542,MINI TOSTADAS NATURALES 40G GRI,2019-03-26,91,69,660,212,150,87,0,0,30,0
14463,29542,MINI TOSTADAS NATURALES 40G GRI,2019-03-26,9,12,192,200,210,100,0,0,30,0
14462,29543,MINI TOSTADAS FRANCESAS 120G GRI,2019-03-26,37,40,240,147,144,64,0,0,24,0
14463,29543,MINI TOSTADAS FRANCESAS 120G GRI,2019-03-26,17,0,11,17,72,100,96,0,24,0
14462,29544,MINI TOSTADAS FRANCESAS 40G GRI,2019-03-26,106,77,747,238,180,110,0,0,30,0
14463,29544,MINI TOSTADAS FRANCESAS 40G GRI,2019-03-26,15,15,146,200,210,100,0,0,30,0
14462,29546,TOSTADAS FRANCESAS 4P 30G GRI,2019-03-26,25,16,266,41,0,29,0,0,90,0
14463,29546,TOSTADAS FRANCESAS 4P 30G GRI,2019-03-26,0,0,450,0,0,0,0,0,90,0
14462,29547,SUBMARINOS SUMERGIDO 27G MLA_29547,2019-03-26,0,0,0,0,0,0,0,0,75,0
14463,29547,SUBMARINOS SUMERGIDO 27G MLA_29547,2019-03-26,0,0,0,0,0,0,0,0,75,0
14462,29548,MINI TOSTADAS INTEGRALES 120G GRI,2019-03-26,62,54,361,182,96,82,0,0,24,0
14463,29548,MINI TOSTADAS INTEGRALES 120G GRI,2019-03-26,33,17,117,60,0,100,48,45,24,2
14462,29549,MINI TOSTADAS INTEGRALES 40G GRI,2019-03-26,120,82,870,209,180,137,0,0,30,0
14463,29549,MINI TOSTADAS INTEGRALES 40G GRI,2019-03-26,13,17,117,200,240,100,0,0,30,0
14462,29551,TOSTADAS NATURALES 16P 100G GRI,2019-03-26,0,0,0,0,0,1,0,1,34,0
14463,29551,TOSTADAS NATURALES 16P 100G GRI,2019-03-26,0,0,0,0,0,0,0,0,34,0
14462,29552,TOSTADAS DIETA 16P 100G GRI,2019-03-26,0,0,0,2,0,2,0,4,34,0
14463,29552,TOSTADAS DIETA 16P 100G GRI,2019-03-26,0,0,34,0,0,0,0,0,34,0
14462,29553,TOSTADAS FRANCESAS 16P 120G GRI,2019-03-26,0,0,340,0,0,11,0,0,34,0
14463,29553,TOSTADAS FRANCESAS 16P 120G GRI,2019-03-26,0,0,0,0,0,0,0,0,34,0
14462,29554,TOSTADAS INTEGRALES 16P 100G GRI,2019-03-26,124,0,9593,1,0,54,0,0,34,0
14463,29554,TOSTADAS INTEGRALES 16P 100G GRI,2019-03-26,35,0,5116,0,0,21,0,0,34,0
14462,29556,APANADURA 500G GRI,2019-03-26,430,272,449,875,960,311,140,339,20,17
14463,29556,APANADURA 500G GRI,2019-03-26,95,68,137,0,0,94,0,120,20,6
14462,29557,APANADURA 250G BIM,2019-03-26,781,504,769,1123,1080,663,540,682,30,23
14463,29557,APANADURA 250G BIM,2019-03-26,500,89,122,450,660,450,150,557,30,19
14462,29558,APANADURA DORADA 150G SUP,2019-03-26,591,270,390,793,780,538,420,602,60,10
14463,29558,APANADURA DORADA 150G SUP,2019-03-26,900,45,3,1000,1620,1000,900,422,60,7
14462,29559,APANADURA GRANEL 23KG SUP,2019-03-26,25,13,97,92,81,8,5,0,1,0
14463,29559,APANADURA GRANEL 23KG SUP,2019-03-26,1,0,49,30,0,2,0,0,1,0
14462,29562,DULZON CHOCOMANJAR 380G SUP,2019-03-26,0,0,0,0,0,0,0,0,12,0
14462,29564,CHOCONUT 450G GRI,2019-03-26,1,0,0,3,0,2,0,6,16,0
14463,29564,CHOCONUT 450G GRI,2019-03-26,0,0,0,0,0,0,0,0,16,0
14462,29565,PASCUA 750G SUP,2019-03-26,0,0,0,1,0,0,0,1,12,0
14463,29565,PASCUA 750G SUP,2019-03-26,0,0,0,0,0,0,0,0,12,0
14462,29567,PASCUA 450G SUP,2019-03-26,2,0,0,3,0,10,16,0,16,0
14463,29567,PASCUA 450G SUP,2019-03-26,0,0,0,0,0,0,0,0,16,0
14462,29568,PETIPAN MANZANA Y CANELA 60G SUP,2019-03-26,0,0,0,9,0,0,0,9,56,0
14463,29568,PETIPAN MANZANA Y CANELA 60G SUP,2019-03-26,0,0,0,0,0,0,0,0,56,0
14462,31297,MOLDE 100PCTINTEGRAL SN CORTEZA 450G BIM_31297,2019-03-26,1,0,20,4,0,0,0,0,10,0
14462,32497,BIRI BIRI 2P 80G MLA_32497,2019-03-26,2267,1064,4929,3151,0,2395,0,3948,48,82
14463,32497,BIRI BIRI 2P 80G MLA_32497,2019-03-26,1800,297,2146,1800,1152,1800,1152,1247,48,26
14462,33288,SUBMARINOS MIX 540G CJ MLA_33288,2019-03-26,0,0,0,0,0,0,0,0,10,0
14463,33288,SUBMARINOS MIX 540G CJ MLA_33288,2019-03-26,0,0,0,0,0,0,0,0,10,0
14462,39723,TORTILLINAS CLASICAS 10P 250G BIM_39723,2019-03-26,382,179,401,633,675,157,297,0,27,0
14463,39723,TORTILLINAS CLASICAS 10P 250G BIM_39723,2019-03-26,0,74,1052,0,0,0,0,0,27,0
14462,39724,TORTILLINAS INTEGRALES 10P 250G BIM_39724,2019-03-26,133,72,472,195,0,49,0,0,27,0
14463,39724,TORTILLINAS INTEGRALES 10P 250G BIM_39724,2019-03-26,0,23,406,0,0,0,0,0,27,0
14462,40264,ARTESANO DE MESA 240G BIM_40264,2019-03-26,49,32,58,66,135,60,0,14,15,1
14463,40264,ARTESANO DE MESA 240G BIM_40264,2019-03-26,17,12,120,50,0,19,0,0,15,0
14462,40265,APANADURA DORADA 1KG SUP_40265,2019-03-26,14,0,0,18,20,8,10,10,10,1
14463,40265,APANADURA DORADA 1KG SUP_40265,2019-03-26,0,0,0,0,10,4,0,0,10,0
14462,40622,CAJILLA PAN DULCE 13P 415G DPY BIM_40622,2019-03-26,0,0,0,0,0,0,0,0,9,0
14462,40916,SUBMARINO RELLENO/CREMA CHOC 1P 33G MLA_40916,2019-03-26,0,0,0,0,0,0,0,0,75,0
14462,40949,ROSQUITAS INTEGRALES 200G SUP_40949,2019-03-26,149,105,484,284,276,135,0,0,12,0
14463,40949,ROSQUITAS INTEGRALES 200G SUP_40949,2019-03-26,36,24,79,200,240,100,48,0,12,0
14463,40959,SUBMARINO RELLENO/CREMA CHOC 2P 66G MLA_40959,2019-03-26,0,0,0,0,0,0,0,0,35,0
14462,41623,BIMBOLETE SABOR VAINILLA 2P 55G BIM_41623,2019-03-26,0,0,0,0,0,0,0,0,40,0
14462,41625,BIMBOLETE GOTAS CHOCOLATE 2P 50G BIM_41625,2019-03-26,0,0,0,0,0,0,0,0,40,0
14463,41625,BIMBOLETE GOTAS CHOCOLATE 2P 50G BIM_41625,2019-03-26,0,0,0,0,0,0,0,0,40,0
14462,41628,KEKE CASERO VAINILLA 230G BIM_41628,2019-03-26,36,27,2,76,48,20,96,13,16,1
14463,41628,KEKE CASERO VAINILLA 230G BIM_41628,2019-03-26,0,5,1,0,0,0,0,4,16,0
14462,41684,MOLDE SANDUCHERO 800G SUP_41684,2019-03-26,80,76,82,297,344,81,32,76,8,10
14463,41684,MOLDE SANDUCHERO 800G SUP_41684,2019-03-26,15,21,15,70,0,70,88,73,8,9
14462,41685,MOLDE ACTILECHE SN CORTEZA 450G BIM_41685,2019-03-26,140,107,10,355,370,141,280,83,10,8
14463,41685,MOLDE ACTILECHE SN CORTEZA 450G BIM_41685,2019-03-26,34,36,6,90,130,80,80,24,10,2
14462,41687,BIMDOG 8P 320G BIM_41687,2019-03-26,126,95,84,285,360,112,48,126,12,11
14463,41687,BIMDOG 8P 320G BIM_41687,2019-03-26,48,38,64,100,0,100,96,126,12,11
14462,41688,BIMBURGER 4P 230G BIM_41688,2019-03-26,116,94,158,253,225,128,105,103,15,7
14463,41688,BIMBURGER 4P 230G BIM_41688,2019-03-26,52,33,11,157,15,150,270,96,15,6
