fecha_de_venta,CEVE,item,producto,transitos,existencia,safety_stock,sugerido,pedido_final,pedido_final_camas,pedido_final_tarimas
2019-03-18,12737,31911,PANDITAS 12P 45G CJ RIC,5,0,0,0,0,0,0
2019-03-18,12737,123582,PANDITAS 62.5G BOLSA CTR RIC,32,3,13,31,31,8,0
2019-03-18,12737,123583,PANDITAS ACIDITOS 62.5G BOLSA CTR RIC,0,0,2,9,9,2,0
2019-03-18,12737,8785,PANDITAS ACIDOS VERTICAL 70G RIC,0,12,1,0,0,0,0
2019-03-18,12737,123431,PANDITAS ENCHILADOS 62.5G BOLSA CTR RIC,0,0,1,5,5,1,0
2019-03-18,12737,123536,PANDITAS ENCHILADOS PLAN COMERCIAL 70G BOLSA CU RIC,0,5,1,0,0,0,0
2019-03-18,12737,123023,PANDITAS RELLENOS CHAMOY 66G RIC,0,2,0,0,0,0,0
2019-03-18,12737,123585,PANDITAS ROJOS 62.5G BOLSA CTR RIC,0,19,2,0,0,0,0
2019-03-18,12737,8779,PANDITAS ROJOS VERTICAL 70G RIC,0,5,1,0,0,0,0
2019-03-18,12737,8786,PANDITAS VERTICAL 70G RIC,12,7,1,0,0,0,0
2019-03-18,12737,45238,PAPATINAS CHILIX  25G TIRA 8 P BAR,21,17,10,12,12,2,0
2019-03-18,12737,123706,PAPATINAS CHILIX 90G CB2 BAR,0,7,1,0,0,0,0
2019-03-18,12737,8990,PAPATINAS FUEGO 25G BAR,21,2,6,8,8,1,0
2019-03-18,12737,123586,PASITAS 55G BOLSA CTR RIC,12,4,4,5,5,1,0
2019-03-18,12737,123339,PASITAS VERTICAL 70G BOLSA CTR RIC,3,0,1,0,0,0,0
2019-03-18,12737,122928,PECOSITAS 70P 9.8G RIC,0,22,2,0,0,0,0
2019-03-18,12737,45552,PIKAROS 30P CJ RIC,0,17,5,6,6,1,0
2019-03-18,12737,123264,POP CINEMANIA 35G CB2 BAR,0,0,1,6,6,1,0
2019-03-18,12737,34780,RELLERINDO 1P 11G VER,0,8,1,0,0,0,0
2019-03-18,12737,42126,RUNNERS 200G BAR,0,6,1,0,0,0,0
2019-03-18,12737,31810,RUNNERS 90G BAR,3,6,1,0,0,0,0
2019-03-18,12737,123258,RUNNERS PLAN COMERCIAL 280G BAR,5,5,6,0,0,0,0
2019-03-18,12737,39109,SEMILLAS BIG MIX PARTY 100G BAR,15,0,7,19,19,2,0
2019-03-18,12737,123238,SNAPS CHEDDAR BLANCO PLAN COMERCIAL 140G CB3 BAR,7,0,2,0,0,0,0
2019-03-18,12737,123240,SNAPS CHILE Y ESPECIAS PLAN COMERCIAL 140G CB3 BAR,3,5,3,0,0,0,0
2019-03-18,12737,123236,SNAPS ESQUITES PLAN COMERCIAL 110G CB3 BAR,7,0,3,0,0,0,0
2019-03-18,12737,123242,SNAPS PIMIENTA SAL/MAR PLAN COMERCIAL 110G CB3 BAR,3,2,2,0,0,0,0
2019-03-18,12737,30301,SPIRRONES 100G BAR,28,18,9,0,0,0,0
2019-03-18,12737,35239,SPIRRONES 25G CB2 BAR,35,12,8,0,0,0,0
2019-03-18,12737,123699,SPIRRONES 60G BOLSA CB2 BAR,0,7,1,0,0,0,0
2019-03-18,12737,42124,TAKIS 190G BAR,0,15,0,0,0,0,0
2019-03-18,12737,31809,TAKIS FAJITAS 90G BAR,3,5,1,0,0,0,0
2019-03-18,12737,123256,TAKIS FAJITAS PLAN COMERCIAL 280G BAR,3,10,3,0,0,0,0
