sale_center_id,sale_center_name,product_id,product_name,quota,barcode,price,bed,pallet
14462,,536,Molde Blanco Tradicional 500g SUP,10,7861009942837,1.43,0,0
14462,,2546,Molde Chococacao 500g BAU,12,7861009980068,2.88,0,0
14462,,3420,Wendys Hamburguesa 20p 1230g SUP,2,220000005779,2,0,0
14462,,3780,Biri Biri Pack 3p 120g MLA,36,7861009942783,0.71,0,0
14462,,29469,Molde Brioche 580g GRI,10,7861009940598,2.76,0,0
14462,,29470,Molde sin Corteza 450g GRI,10,7861009940499,2.92,0,0
14462,,29471,Molde Gigante 800g REY,8,7861009940253,1.8,0,0
14462,,29473,Molde Blanco 550g SUP,10,7861009940048,1.5,0,0
14462,,29479,Molde Integral 700g SUP,10,7861009940055,2,0,0
14462,,29481,Molde 9 Cereales 500g BAU,12,7861009941328,2.3,0,0
14462,,29482,Molde Miel y Granola 500g BAU,12,7861009941335,2.17,0,0
14462,,29483,Molde Yogurt y Almendras 500g BAU,12,7861009941342,2.3,0,0
14462,,29484,Molde 9 Cereales 680g BAU,10,7861009941618,2.84,0,0
14462,,29486,Molde Yogurt y Almendras 680g BAU,10,7861009940789,2.84,0,0
14462,,29487,Molde Avena y Nueces 650g BAU,10,7861009941625,2.84,0,0
14462,,29489,Hamburguesa Jumbo12p 1140g  SUP,5,7861009940840,2.76,0,0
14462,,29490,Super Hot Dog 8p 600g SUP,6,7861009940123,2.01,0,0
14462,,29491,Super Hamburguesa 8p 520g SUP,6,7861009940116,1.87,0,0
14462,,29494,Hamburguesa 8p 400g SUP,9,7861009940093,1.33,0,0
14462,,29495,Hot Dog 8p 320g SUP,11,7861009940109,1.33,0,0
14462,,29497,Super Hot Dog 8p 600g REY,6,7861009940857,1.67,0,0
14462,,29499,Super Hamburguesa 12p 800g REY,5,7861009940314,2.05,0,0
14462,,29502,Pansol Briollo 8p 230g SUP,15,7861009940918,0.83,0,0
14462,,29503,CJr Super Hamburguesa 20p 1900g SUP,1,220000005359,4.6,0,0
14462,,29504,CJr Avena y Miel 15p 1065g SUP,2,220000005366,3.6,0,0
14462,,29505,CJr Hamburguesa 15p 750g SUP,2,220000005373,2.1,0,0
14462,,29506,MCD Big Mac 15p 1155g SUP,2,220000005380,2.55,0,0
14462,,29507,MCD 1/4 Libra 15p 870g SUP,2,220000005397,2.4,0,0
14462,,29508,MCD Mini Mc Roll 15p 870g SUP,2,220000005403,2.4,0,0
14462,,29509,MCD Regular 15p 750g SUP,2,220000005410,2.1,0,0
14462,,29510,BK Whopper 8p 760g SUP,2,220000005427,2,0,0
14462,,29511,BK Corn Dust 10p 890g SUP,2,220000005434,2.7,0,0
14462,,29512,BK Especial 12p 924g SUP,2,220000005441,2.88,0,0
14462,,29513,BK Whopper Jr 15p 825g SUP,2,220000005458,2.85,0,0
14462,,29515,Wendys Hamburguesa 15p 750g SUP,2,220000005472,2.85,0,0
14462,,29516,Super Hamburguesa Club 8p 648g SUP,3,220000005489,1.6,0,0
14462,,29517,Super Hamburguesa 20p 2160g SUP,1,220000004130,4.2,0,0
14462,,29525,Submar Relleno/Crema Vainilla 1p 27g MLA,75,7861009980143,0.18,0,0
14462,,29526,Rosquitas Llaneras 200g SUP,12,7861009940666,1.5,0,0
14462,,29527,Rosquitas Trenzadas 200g SUP,12,7861009940710,1.5,0,0
14462,,29530,Mini Rosquitas Naturales 50g SUP,60,7861009941373,0.46,0,0
14462,,29532,Salmas EC 140g EXP SAN,28,658480001101,2,0,0
14462,,29533,Mini Rosquitas Integrales 50g SUP,60,7861009941403,0.46,0,0
14462,,29534,Bimboletes Vainilla 2p 70g BIM,40,7861009942905,0.43,0,0
14462,,29536,Bimboletes Gotas Chocolate 2p 70g BIM,40,7861009942912,0.43,0,0
14462,,29539,Submarino Relleno/Crema Choc 1p 27g MLA,75,7861009980150,0.18,0,0
14462,,29540,Submar Rell/Crema ManjarLeche 1p 27g MLA,75,7861009980167,0.18,0,0
14462,,29541,Mini Tostadas Naturales 120g GRI,24,7861009941533,1.17,0,0
14462,,29542,Mini Tostadas Naturales 40g GRI,30,7861009941557,0.62,0,0
14462,,29543,Mini Tostadas Francesas 120g GRI,24,7861009941564,1.17,0,0
14462,,29544,Mini Tostadas Francesas 40g GRI,30,7861009941571,0.62,0,0
14462,,29546,Tostadas Francesas 4p 30g GRI,90,7861009941458,0.25,0,0
14462,,29548,Mini Tostadas Integrales 120g GRI,24,7861009941526,1.17,0,0
14462,,29549,Mini Tostadas Integrales 40g GRI,30,7861009941540,0.62,0,0
14462,,29551,Tostadas Naturales 16p 100g GRI,34,7861009941465,0.92,0,0
14462,,29552,Tostadas Dieta 16p 100g GRI,34,7861009941489,0.92,0,0
14462,,29553,Tostadas Francesas 16p 120g GRI,34,7861009941496,0.92,0,0
14462,,29554,Tostadas Integrales 16p 100g GRI,34,7861009941472,0.92,0,0
14462,,29556,Apanadura 500g GRI,20,7861009910300,1.46,0,0
14462,,29557,Apanadura 250g BIM,30,7861009910560,0.91,0,0
14462,,29558,Apanadura Dorada 150g SUP,60,7861009941021,0.7,0,0
14462,,29559,Apanadura Granel 23Kg SUP,1,220000002167,35,0,0
14462,,29560,Apanadura 25Kg SUP,1,220000003751,32.61,0,0
14462,,29564,Choconut 450g GRI,16,7861009910218,5.42,0,0
14462,,29565,Pascua 750g SUP,12,7861009910669,5.83,0,0
14462,,29567,Pascua 450g SUP,16,7861009940024,3.75,0,0
14462,,29568,Petipan Manzana y Canela 60g SUP,56,7861009940406,0.8,0,0
14462,,31297,Molde 100pctIntegral sn Corteza 450g BIM,10,7861009942738,2.96,0,0
14462,,32497,Biri Biri 2p 80g MLA,48,7861009942349,0.56,0,0
14462,,39723,Tortillinas Clasicas 10p 250g BIM,27,7861009941700,1.57,0,0
14462,,39724,Tortillinas Integrales 10p 250g BIM,27,7861009941717,1.65,0,0
14462,,40264,Artesano de Mesa 240g BIM,15,7861009942844,0.94,0,0
14462,,40265,Apanadura Dorada 1Kg SUP,10,7861009942851,2.42,0,0
14462,,40949,Rosquitas Integrales 200g SUP,12,7861009942639,1.5,0,0
14462,,41628,Keke Casero Vainilla 230g BIM,16,7861009941809,1.43,0,0
14462,,41684,Molde Sanduchero 800g SUP,8,7861009941908,2.04,0,0
14462,,41685,Molde Actileche sn Corteza 450g BIM,10,7861009941878,2.75,0,0
14462,,41687,Bimdog 8p 320g BIM,12,7861009941885,1.37,0,0
14462,,41688,Bimburger 4p 230g BIM,15,7861009941892,0.83,0,0
14462,,41959,Bimboletes Gotas Chocolate 1p 35g BIM,60,7861009942608,0.26,0,0
14462,,41976,Bimboletes Vainilla 1p 35g BIM,60,7861009942585,0.26,0,0
14462,,42223,Molde Blanco con Actileche 580g BIM,10,7861009942066,1.5,0,0
14462,,42496,Pan Blanco 450g REY,10,7861009942172,1.3,0,0
14462,,42513,Molde 100pct Integral 600g BIM,8,7861009941977,1.66,0,0
14462,,42517,Molde Integral Clasico 500g SUP,10,7861009942011,1.67,0,0
14462,,42525,Mega Bimburguer 4p 300g BIM,15,7861009942042,0.96,0,0
14462,,42572,Cajilla Submarinos 12p 324g Dpy MLA,20,7861009980174,2.23,0,0
14462,,42608,MCD Angus 10p 990g SUP,2,220000005328,3,0,0
14462,,42609,Submarinos Choco 2p 54g MLA,35,7861009942868,0.36,0,0
14462,,42619,Submarinos Manjar 2p 54g MLA,35,7861009942875,0.36,0,0
14462,,42626,Submarinos Vainilla 2p 54g MLA,35,7861009942882,0.36,0,0
14462,,42643,Bimboletes Vainilla 4p 55g BIM,40,7861009942264,0.36,0,0
14462,,43022,Sampling Molde Artesano 500g BIM,72,220000005694,0.01,0,0
14462,,43029,Sampling Molde Doble Fibra 650g BIM,75,220000005717,0.01,0,0
14462,,44945,Molde Rendidor 450g SUP,10,7861009942806,1.08,0,0
14462,,45272,Molde Artesano 500g BIM,9,7861009942424,2.21,0,0
14462,,45841,Hamburguesa Mixto 10p 774g SUP,2,220000005656,2.8,0,0
14462,,47308,Dislocado Mix Tostadas 4p 650g GRI,4,220000005625,5.36,0,0
14462,,47837,Molde Doble Fibra 650g BIM,8,7861009942394,2.42,0,0
14462,,48329,McD Brioche 10p 760g SUP,2,220000005618,2.8,0,0
14462,,48640,Pascua 900g GRI,12,7861009942110,8.33,0,0
14462,,48644,Pascua 450g BIM,6,7861009942134,4.43,0,0
14462,,48661,Pascua 380g REY,16,7861009941663,2.08,0,0
14462,,48903,Sampling 2Reb Actileche 600g BIM,75,220000005526,0.01,0,0
14462,,48904,Sampling 2Reb Actileche s/Cort 450g BIM,75,220000005557,0.01,0,0
14462,,48932,Tortillinas Integrales gde 8p 320g BIM,18,7861009942196,1.65,0,0
14462,,500330,Tostadas Integrales 10p 160g BIM,18,7705326011770,1.17,0,0
14462,,500331,Tostadas Naturales 10p 160g BIM,18,7705326011800,1.17,0,0
14462,,500404,McRoll Sand 12p 840g SUP,2,220000005854,2.4,0,0
14462,,500420,Molde Med 100pct Int 425g BIM,12,7861009943087,1.22,0,0
14462,,500421,Molde Med Doble Fibra 425g BIM,12,7861009943100,1.22,0,0
14462,,500736,Tostadas Fruticereal 16p 100g GRI,34,7861009943254,1.11,0,0
14462,,500739,Tortillinas Integ Chia gde 8p 320g BIM,18,7861009943155,1.65,0,0
14462,,500748,Mini Rosquita Natural Sampling 10g SUP,150,220000005274,0.07,0,0
14462,,500769,Pan Blanco AASS 425g REY,10,7861009943179,0.91,0,0
14462,,500771,Dulce TT 330g SUP,9,7861009943193,1,0,0
14462,,500772,Molde Integral  Med Linaza 425g BIM,12,7861009943261,1.22,0,0
14462,,500773,Molde Blanco Mediano Actileche 400g BIM,12,7861009943278,1.19,0,0
14462,,500774,Molde Blanco Mediano Actileche 390g BIM,12,7861009943285,1.21,0,0
14462,,500789,Salmas Sampling Pack 18g SAN,224,220000005861,0.12,0,0
14462,,500790,Tortillinas Mantequilla Gde 8p 320g BIM,18,7861009943162,1.6,0,0
14462,,500799,Biri Biri Minix 10p 200g Doypack MLA,15,7861009943339,1.75,0,0
14462,,500800,Biri Biri Minix 20g MLA,150,7861009943346,0.08,0,0
14462,,500824,Sampling Tortillinas Manteq 80g BIM,72,220000005885,0.3,0,0
14462,,500825,Sampling Tortillinas Int Chia 80g BIM,72,220000005878,0.29,0,0
14462,,500887,Tortillinas Clasicas 8p 200g BIM,27,7861009943391,1.25,0,0
14462,,500920,Biri Biri Bam Bam 20g MLA,150,7861009943377,0.11,0,0
14462,,500921,Biri Biri Bam Bam 80g MLA,48,7861009943353,0.56,0,0
14462,,500996,Molde Mediano Brioche 425g BIM,12,7861009943384,1.22,0,0
14462,,501175,Panettone Di Milano 900g GRI,6,7861009942097,11.67,0,0
14462,,501176,Pascua Choco 380g SUP,16,7861009943407,3.33,0,0
14462,,501177,Pascua Chocoarandanos 750g BIM,6,7861009942967,9.17,0,0
14462,,501178,Dulzon Chocomanjar 450g BIM,16,7861009943438,3.75,0,0
14462,,501179,Petipan Chocolate 60g SUP,56,7861009943414,0.8,0,0
14462,,501233,Bimboletes Vainilla 3p 105g BIM,37,7861009980204,0.62,0,0
14462,,501234,Bimboletes Gotas Chocolate 3p 105g BIM,37,7861009980211,0.62,0,0
14462,,501235,Pan Dulce 12p 420g Dpy BIM,9,7861009980235,3.12,0,0
14462,,501236,Piolo 1p 45g MLA,42,7861009980228,0.46,0,0
14462,,501239,Hamburguesa Mega Gigante 6p 570g BIM,7,7861009980297,1.51,0,0
14462,,501253,Tostadas Integrales 125g Prom 25pcm GRI,30,7861009943520,0.92,0,0
14462,,501254,Tostadas Naturales 125g Prom 25pcm GRI,30,7861009943537,0.92,0,0
14462,,501255,Tostadas Francesas 150g Prom 25pcm GRI,30,7861009943544,0.92,0,0
14462,,501256,Tostadas Dieta 125g Prom 25pcm GRI,30,7861009943551,0.92,0,0
14462,,501268,Sampling Tostada Fruticereal 12g Grile,180,220000005922,0.07,0,0
14462,,501270,Molde Integral Clasico 20r TT 480g SUP,10,7861009980242,1.67,0,0
14462,,501271,Lonchera Navidena Mix 231g MLA,15,7861009943568,1.86,0,0
14462,,501917,Tortillinas Mantequilla 10p 250g BIM,27,7861009943575,1.6,0,0
14462,,501918,Apanadura 500g SUP,20,7861009943582,1.33,0,0
