fecha_de_venta,ceve_id,ITEM,producto,transitos,existencia,safety_stock,sugerido,pedido_final,pedido_final_camas,pedido_final_tarimas
2019-03-22,12768,123468,WUARACHE 48P 14G CU VER,0,0,0,0,0,0,0
2019-03-22,12768,34162,Gomas Peach Rings Granel 1kg RIC,0,0,0,0,0,0,0
2019-03-22,12768,34168,Gomas Gusanos Bicolor Granel 1kg RIC,0,0,0,0,0,0,0
2019-03-22,12768,123165,Papatinas Chilix PC 250g BAR,0,0,0,0,0,0,0
2019-03-22,12768,124240,Chips Sal de Mar 46g CT1 BAR,128,164,124,412,412,59,5
2019-03-22,12768,124241,Chips Fuego 46g CT1 BAR,792,91,191,805,805,9,9
2019-03-22,12768,124244,Chips Jalapeno 46g CT1 BAR,1200,728,153,0,0,0,0
2019-03-22,12768,124242,Chips a la Diabla 46g CT1 BAR,148,38,37,0,0,0,0
2019-03-22,12768,124245,Chips Adobadas 46g CT1 BAR,132,149,45,0,0,0,0
2019-03-22,12768,124368,Chips Queso 46g CT1 BAR,0,134,0,0,0,0,0
2019-03-22,12768,123745,Takis Cobra Pc 190g Bolsa CU BAR,0,0,0,0,0,0,0
2019-03-22,12768,124381,Chips Fuego 42g CT1 BAR,116,7,14,0,0,0,0
2019-03-22,12768,124382,Chips Jalapeno 42g CT1 BAR,56,44,13,18,18,0,0
2019-03-22,12768,124383,Chips Sal 42g CT1 BAR,83,20,7,0,0,0,0
2019-03-22,12768,124447,Kiyakis Nvo PC 150g C3H BAR,0,0,0,0,0,0,0
2019-03-22,12768,124440,Golden Nuts Japones Nvo PC 100g C3H BAR,0,0,4,4,4,0,0
2019-03-22,12768,124445,Kiyakis Nvo PC 95g C3H BAR,7,46,2,0,0,0,0
2019-03-22,12768,124239,Takis Fuego 56g CT1 BAR,1339,273,156,0,0,0,0
2019-03-22,12768,124357,Takis Cobra 56g CT1 BAR,0,0,17,18,18,3,0
2019-03-22,12768,124358,Takis Fajita 56g CT1 BAR,272,20,47,117,117,2,1
2019-03-22,12768,124359,Takis Huakamole 56g CT1 BAR,160,12,20,0,0,0,0
2019-03-22,12768,124243,Runners 58g CT1 BAR,274,0,107,635,635,7,7
2019-03-22,12768,124360,Takis Salsa Brava 56g CT1 BAR,96,0,16,45,45,1,0
2019-03-22,12768,124426,Golden Nuts Salados 60g C3H BAR,16,85,1,0,0,0,0
2019-03-22,12768,124427,Golden Nuts Enchilado 60g C3H BAR,46,0,1,0,0,0,0
2019-03-22,12768,124430,Kiyakis 75g C3H BAR,0,0,0,0,0,0,0
2019-03-22,12768,124443,Kiyakis Nvo PC 50g C3H BAR,17,122,5,0,0,0,0
2019-03-22,12768,123743,Takis Cobra Pc 280g Bolsa CU BAR,0,0,0,0,0,0,0
2019-03-22,12768,124442,Golden Nuts Japones Nvo PC 190g C3H BAR,0,0,0,0,0,0,0
